id;client_id;client_nom;client_prenom;client_email;client_adresse
1;40097;calculate;Lettonie;Fresh Handcrafted Loire;compressing array
2;26179;strategy Coordinateur;invoice Grocery;a Aquitaine iterate;online Account global
3;77018;Jewelery c;Licensed;uniform content;a Wooden
4;96935;Dollar;Wooden back-end;Avon online;index
5;67540;b;c a;Plastic;regional
6;15721;de;a Proactive Granite;c Up-sized payment;background magenta
7;94258;Fantastic;analyzing;ubiquitous;sexy Reduced
8;36278;withdrawal Wooden;Coordinateur SCSI Executif;Stagiaire Nauru;b Soap
9;9546;feed;b cutting-edge Account;copying viral systems;invoice cohesive
10;35133;reinvent Loan;Fresh c;reintermediate e-business Loan;Shoes
