id;restaurateur_id;restaurateur_nom;restaurateur_prenom;restaurateur_boutique
1;15910;mobile Plastic;matrix copying Haute-Normandie;Decentralized Berkshire
2;65170;even-keeled;Granite;driver action-items
3;79837;Birr interactive Incredible;Intelligent de;Integrated lime Corse
4;40504;Serbie;Account visionary;withdrawal
5;24690;set;Gloves;regional b Intelligent
6;45763;Dinar;Tools niches;Won
7;11992;Intelligent scalable Cambridgeshire;Baht;Superviseur
8;8829;Aquitaine;PNG c neural;back-end
9;35819;override fresh-thinking;engage innovate Libye;b reboot black
10;5337;drive compress b;content virtual;SCSI Monitored
